theta,phi,time,NN,NP,NT,NB,PN,PP,PT,PB
100.26 ,178.93 ,327.6611,0.041406339,0.040860376,0.034308819,0.36842584,0.5233801,2.733438811,0.977919215,1.00323205
99.68 ,198.99 ,469.316,0.720548079,2.655073482,0.521688071,0.830845862,0.050696091,0.049717168,0.078261874,0.048556321
101.43 ,138.81 ,348.7008,0.127893834,0.087400144,0.084333677,0.121329496,1.053628794,3.75918561,1.377216869,1.412930135
101.21 ,191.33 ,664.6452,0.44944787,1.303242226,0.146400575,0.825105153,0.040250524,0.03865396,0.053078084,0.043260137
101.35 ,276.32 ,377.5242,3.053711674,2.583326675,1.389336234,1.382465369,0.059403903,0.060577765,0.072714857,0.058983897
100.70 ,73.89 ,335.3493,0.071118104,0.082465964,0.071881902,0.079628999,3.35200744,2.065189239,1.342442111,1.316436599
101.79 ,171.27 ,469.5606,0.048790783,0.044825179,0.050652366,0.05567431,0.680404136,3.100141237,1.181836579,1.214228118
102.16 ,203.73 ,415.8274,0.871076398,3.300138896,0.839769233,1.276710486,0.05597549,0.055838607,0.068637195,0.056249257
103.19 ,78.62 ,357.8211,0.064572444,0.077150606,0.062049994,0.074889491,3.191660362,2.288089278,1.384711353,1.405811306
104.29 ,176.01 ,456.2431,0.05734397,0.060792628,0.040706644,0.048949561,0.65598472,2.855444552,1.132434247,1.245945901
103.70 ,196.07 ,492.1076,0.721628194,2.145295819,0.36356115,1.288041677,0.044845129,0.047001463,0.055676368,0.051809839
103.85 ,281.05 ,334.3147,3.202277331,2.342874663,1.41443229,1.504170531,0.063919799,0.071192257,0.069830191,0.072846194
105.26 ,188.40 ,404.6516,0.44104124,0.778795075,0.104643806,1.291685366,0.09868569,0.218882892,0.048287867,0.119091986
105.85 ,168.34 ,388.6794,0.058023264,0.054058812,0.061998177,0.069696955,0.780798367,3.17589244,1.280539029,1.439305408
106.22 ,200.80 ,489.2777,0.876554724,2.907005367,0.666770575,1.499816236,0.054411258,0.05374649,0.062621142,0.064814876
107.27 ,75.69 ,369.0793,0.066072736,0.077143609,0.066381178,0.077363925,3.229291187,2.113776752,1.385181085,1.601894811
108.40 ,173.08 ,534.2912,0.044896192,0.044546154,0.047559525,0.053776507,0.742735205,2.941826782,1.239873021,1.502317897
107.80 ,193.14 ,492.2895,0.704761442,1.638018048,0.226661719,1.490541338,0.049709488,0.052476173,0.054780367,0.06156907
108.78 ,205.54 ,329.6621,0.985512621,3.405086764,0.904127574,1.683902149,0.068558794,0.066548525,0.081779702,0.07820315
10.14 ,261.15 ,1696.8182,0.837609917,0.925699176,3.786326237,0.965342218,0.01712474,0.017575202,0.027238568,0.022999913
9.73 ,38.66 ,603.2001,0.255407179,0.324272013,0.077660822,0.043838395,0.910105027,0.732709161,3.731143476,0.987469279
109.99 ,165.42 ,337.7622,0.06580722,0.063953496,0.074245278,0.081383321,0.902751798,3.204716522,1.334741832,1.675947513
110.37 ,197.88 ,423.2126,0.879124185,2.429914579,0.463891211,1.703047928,0.058293818,0.057957581,0.064144334,0.072511822
112.22 ,137.69 ,335.0979,0.084675351,0.074374539,0.096808229,0.123731084,1.043839975,3.575534706,1.201846437,1.917916729
111.99 ,190.21 ,340.5577,0.723202206,1.357391972,0.155091285,1.702362934,0.26661948,0.762861451,0.061064731,0.46779285
112.61 ,170.15 ,465.9897,0.050927094,0.049949908,0.056563363,0.0609258,0.82056574,2.992536046,1.295678791,1.761421327
112.99 ,202.61 ,379.5376,0.997546165,3.057179803,0.708454668,1.88512037,0.065366151,0.067090823,0.075210709,0.084026891
114.24 ,162.49 ,340.3849,0.072741545,0.069612106,0.084841247,0.079310979,1.016076359,3.203243819,1.328255838,1.91734291
114.09 ,77.50 ,353.8094,0.060868994,0.069131181,0.063144255,0.077703631,3.051263712,2.122853554,1.327098044,1.934225174
114.87 ,142.43 ,337.3813,0.082764633,0.08098112,0.08254772,0.125858158,1.102717025,3.507157358,1.15435454,2.040736286
115.27 ,174.89 ,618.0489,0.04391663,0.05269864,0.04391663,0.048613525,0.797307864,2.737474318,1.256623449,1.830802468
116.94 ,167.22 ,470.1505,0.053304177,0.05399599,0.061346501,0.062782013,0.920526127,3.000608355,1.322772038,2.016988899
116.70 ,219.75 ,329.3354,1.073313834,3.479572786,1.106361856,2.201378499,0.07881157,0.074046334,0.129105795,0.092810994
118.48 ,74.58 ,339.0436,0.067333273,0.074432346,0.070822851,0.088114851,3.038691251,1.9443307,1.278288911,2.165409279
118.65 ,159.56 ,387.178,0.066176416,0.066144913,0.076435756,0.081297653,1.087637013,3.163110871,1.286407781,2.156466987
10.54 ,123.65 ,1115.0003,0.025167234,0.030775348,0.046903235,0.031945833,0.753511069,0.973124538,3.770450559,1.057348353
11.30 ,208.63 ,1960.9995,0.742601338,0.99167902,3.724577667,1.064534092,0.014626993,0.016007798,0.023003046,0.019150891
119.71 ,171.96 ,613.393,0.043964962,0.042957473,0.04783584,0.053045618,0.866095823,2.752830969,1.322939032,2.107090211
121.46 ,164.30 ,432.1022,0.055560858,0.057527364,0.062570652,0.072892458,1.020710819,2.971597898,1.327194107,2.262658292
124.36 ,169.03 ,541.0148,0.048892296,0.049989479,0.053589142,0.062073526,0.940616826,2.731325333,1.356907744,2.369848495
126.20 ,161.37 ,374.3449,0.065306258,0.066283734,0.074809497,0.086951921,1.100084076,2.902158836,1.291126331,2.525352697
125.94 ,213.89 ,377.7728,1.094934213,3.149768144,0.983953443,2.635448901,0.076498382,0.089359323,0.088293856,0.09366424
127.36 ,173.77 ,414.1087,0.27167271,0.566594344,0.054725297,0.077414597,0.895761016,2.477954368,1.357666476,2.462000187
129.28 ,166.11 ,493.669,0.05739448,0.059898128,0.063620657,0.072721087,1.01219847,2.650654801,1.340909314,2.642015569
12.35 ,156.11 ,446.8718,0.467799012,0.436064703,0.586302272,0.058118912,0.737577029,0.998047649,3.684846364,1.070013928
12.01 ,293.61 ,1467.8406,1.020009208,0.849103779,3.800331604,1.135692092,0.018599559,0.019621634,0.030268947,0.024280526
11.66 ,71.12 ,995.4693,0.026624939,0.02898561,0.046408833,0.033441479,0.981112062,0.842053014,3.778074388,1.061513742
132.50 ,170.84 ,469.2174,0.062205009,0.074483112,0.056919447,0.066589427,0.917270442,2.410745219,1.364316417,2.729906567
134.58 ,163.18 ,335.6222,0.068528467,0.070333441,0.07653577,0.086275365,1.065625531,2.533942115,1.291865171,2.888443979
138.11 ,167.92 ,423.2909,0.06089559,0.065582821,0.064430223,0.073093918,0.963898426,2.270329743,1.343756279,2.989560447
13.31 ,103.58 ,893.9908,0.029356124,0.04098033,0.059571784,0.037692263,0.878787281,1.046833468,3.787763143,1.088336797
