theta,phi,require time (s),NN,NP,NT,NB,PN,PP,PT,PB
100.26,178.93,327.66,0.15066151,0.145710601,0.126378478,0.96488138,1.305265712,5.720099631,2.203005811,2.322510094
99.68,198.99,469.32,1.728001206,5.588667941,1.32554594,2.107343688,0.175095806,0.184841639,0.289100397,0.183221665
101.43,138.81,348.7,0.422077439,0.307603508,0.303510989,0.425960085,2.451372132,7.729427188,3.26973598,3.362324845
101.21,191.33,664.65,1.131839002,2.821259958,0.43891717,2.065112227,0.144246314,0.14726814,0.198192637,0.16341717
101.35,276.32,377.52,6.47827442,5.660330875,3.265474023,3.361753355,0.200032698,0.216100792,0.262398874,0.212320698
100.7,73.89,335.35,0.254526144,0.293152432,0.260430413,0.297832202,6.99377079,4.626061765,3.162894089,3.160602699
101.79,171.27,469.56,0.172659848,0.172270214,0.19546643,0.213502158,1.688570198,6.464999133,2.753630624,2.855844631
102.16,203.73,415.83,2.043107276,6.84682046,2.038247949,3.044460976,0.193493104,0.200425222,0.253848482,0.205900519
103.19,78.62,357.82,0.231691141,0.269232583,0.228657375,0.269584818,6.701238183,5.040824772,3.225791527,3.337734105
104.29,176,456.24,0.193340051,0.202919723,0.15155486,0.18356433,1.608538253,6.001223147,2.600546665,2.887295197
103.7,196.07,492.11,1.735203928,4.565910864,0.976706955,3.025610453,0.166516061,0.171051775,0.210972668,0.191408786
103.85,281.05,334.31,6.742162037,5.223644145,3.334651329,3.620154048,0.229486979,0.251633019,0.253834246,0.263259387
105.26,188.4,404.65,1.086692296,1.763277714,0.327366104,2.980466325,0.290451763,0.552197954,0.181657945,0.359789234
105.85,168.34,388.68,0.20973908,0.202395963,0.233598979,0.261454706,1.917798247,6.63000807,2.986723829,3.349078398
106.22,200.8,489.28,2.053707867,6.086603462,1.651284163,3.509866932,0.194418786,0.200592789,0.23669783,0.231994618
107.27,75.69,369.08,0.238083916,0.275614657,0.25530157,0.285429711,6.758474562,4.706191868,3.250886995,3.753007989
108.4,173.08,534.29,0.165849949,0.164426965,0.180612459,0.199354759,1.78907161,6.182927202,2.854696533,3.456656895
107.8,193.14,492.29,1.688526921,3.559844832,0.643084356,3.470675071,0.180817148,0.188547341,0.206386249,0.225174913
108.78,205.54,329.66,2.300921285,7.066262636,2.208140013,3.927719968,0.242084752,0.243157725,0.306413759,0.280711755
10.14,261.15,1696.82,2.009314261,2.226673871,7.803187235,2.279255657,0.069085924,0.072092994,0.109471707,0.094297387
9.73,38.66,603.2,0.604907938,0.763869327,0.252178655,0.153697276,2.142514277,1.727835617,7.618944423,2.274535
109.99,165.41,337.76,0.246450667,0.233197655,0.274978951,0.30291741,2.163551336,6.733288868,3.096955854,3.867761192
110.37,197.88,423.21,2.081778398,5.173031697,1.213187492,3.900310749,0.20474052,0.214155202,0.240621988,0.262640816
112.22,137.69,335.1,0.294827073,0.274953545,0.346233753,0.41859378,2.447343763,7.435999837,2.955550414,4.392365284
111.99,190.21,340.56,1.722574889,3.029100606,0.46911484,3.862512159,0.695596011,1.737951397,0.227507864,1.138554073
112.61,170.15,465.99,0.189748453,0.188814892,0.213628419,0.228731168,1.985535905,6.30583805,3.000674422,3.990231623
112.99,202.61,379.54,2.320783623,6.440389065,1.793412167,4.336495001,0.238303212,0.24619809,0.280541347,0.300808796
114.24,162.49,340.38,0.259663582,0.259126075,0.309197824,0.29289345,2.389444853,6.751241194,3.11098209,4.36761336
114.09,77.5,353.81,0.22173421,0.24919818,0.234328566,0.285418444,6.465730948,4.759379565,3.149393392,4.433040955
114.87,142.43,337.38,0.29232851,0.292087494,0.301824547,0.434757015,2.590417673,7.314997363,2.849835426,4.645309472
115.27,174.89,618.05,0.156812876,0.18304703,0.164785743,0.182579972,1.890582556,5.798932002,2.879257546,4.099527221
116.94,167.22,470.15,0.195757291,0.198628317,0.233167108,0.235951658,2.178079829,6.331858081,3.084001021,4.527314329
116.7,219.75,329.34,2.501257141,7.287079667,2.709085187,4.989737208,0.274750282,0.269861663,0.447259288,0.331327409
118.48,74.58,339.04,0.240411717,0.271830247,0.263340049,0.323347044,6.414704571,4.403750737,3.038843434,4.903389314
118.64,159.56,387.18,0.240163915,0.243828696,0.287417538,0.302528197,2.528404867,6.689159895,3.049444318,4.860371172
10.54,123.64,1115,0.102466623,0.120023891,0.178267347,0.130313945,1.781656137,2.306219175,7.724895295,2.415427934
11.3,208.63,1961,1.750926279,2.350668081,7.623901898,2.436170141,0.059698019,0.063865312,0.090849049,0.077714821
119.71,171.96,613.39,0.159535329,0.161192391,0.180487224,0.198880615,2.04424483,5.859398753,3.04015252,4.660560587
121.46,164.3,432.1,0.209993824,0.218010436,0.241401629,0.265912513,2.396129459,6.262178052,3.098589758,5.043173217
124.36,169.03,541.01,0.180082458,0.185869025,0.201507784,0.230072381,2.216638234,5.829447208,3.12742877,5.206436902
126.2,161.37,374.34,0.240234164,0.255754513,0.28169055,0.316380541,2.564713386,6.152509992,3.032615552,5.525983116
125.94,213.89,377.77,2.575209907,6.673026569,2.432070343,5.820808044,0.265669184,0.314885516,0.320847871,0.323613801
127.36,173.77,414.11,0.676553348,1.301248406,0.199382461,0.260960499,2.102960687,5.321561869,3.087315863,5.337270552
129.28,166.11,493.67,0.209062407,0.219159335,0.238611981,0.273926521,2.372366243,5.707663146,3.112686823,5.728013479
12.35,156.11,446.87,1.089269978,1.045016452,1.274799975,0.191416517,1.732611075,2.330597765,7.522189641,2.409206003
12.01,293.61,1467.84,2.423508236,2.067438031,7.836912658,2.611354159,0.074082501,0.081070842,0.119278201,0.097424057
11.66,71.12,995.47,0.10710006,0.117335073,0.17898612,0.137580468,2.31837343,2.012115371,7.763036943,2.430938154
132.5,170.84,469.22,0.219107028,0.256686306,0.207643486,0.24309122,2.149401218,5.212055988,3.107226549,5.86704624
134.58,163.18,335.62,0.247634453,0.255859861,0.280136323,0.318719423,2.470868996,5.473542731,2.996422909,6.191660838
138.1,167.91,423.29,0.222451871,0.238914846,0.234688644,0.273473647,2.263678303,4.961041704,3.069345959,6.370153281
13.31,103.58,893.99,0.119498405,0.157877421,0.224721216,0.153447849,2.103082788,2.49137529,7.793614471,2.478172981
13,241.09,1446.89,1.944306248,2.628548152,7.845172615,2.700991708,0.081674272,0.084734317,0.129409857,0.108998314
140.41,160.25,333.35,0.260517142,0.264944469,0.308998211,0.347234224,2.44211647,5.119149637,2.998959663,6.645614215
142.83,152.59,345.93,0.279826244,0.300511455,0.354880652,0.405723961,2.452466831,5.139134912,2.932622292,6.885378079
144.4,164.99,406.56,0.239705998,0.258056458,0.25413636,0.291097284,2.286077207,4.567084287,3.339513568,6.823210744
145.4,144.93,357.21,0.275110094,0.298146908,0.323061723,0.360439637,2.324840211,5.015970317,2.731694931,7.073883966
147.07,157.32,330.24,0.262047182,0.268252105,0.306688154,0.350159547,2.34004379,4.591864413,3.22754472,7.073144062
13.62,326.07,1289.6,2.584643143,1.94319168,7.726280388,2.705346816,0.071855982,0.078025785,0.099177144,0.078063617
14.22,51.06,852.5,0.114521637,0.126606668,0.190312995,0.144848672,2.654223632,1.892523353,7.767326447,2.696440162
150.82,44.62,339.35,0.258546762,0.298970152,0.316486156,0.422816208,4.410762226,2.20097815,2.830691672,7.385092318
152.02,24.55,338.41,0.549670477,0.27495538,0.271230999,0.318458544,4.08007064,2.305463494,3.274282939,7.330385389
154.08,36.95,364.69,0.236234116,0.26293448,0.279211111,0.361463839,4.040539852,2.205137894,3.013094246,7.477205548
155.25,154.4,371.99,0.249522758,0.259140806,0.283568461,0.335101522,2.163219134,3.810987422,3.129712693,7.444357922
157.76,29.29,366.44,0.228226953,0.239499612,0.247443729,0.307679224,3.542876728,2.143469379,3.141776456,7.542628978
14.79,136.04,986.27,0.113466333,0.135087802,0.226062861,0.148926366,1.78611467,2.751759541,7.720562602,2.726378534
15.34,221.03,1463.25,1.843832208,2.866749706,7.763641204,2.836408026,0.076609963,0.078832797,0.119521767,0.101541821
14.51,273.55,1259.43,2.463881175,2.448782847,7.836626142,2.51837655,0.087255228,0.092175017,0.146844716,0.11738732
160.37,41.69,353.09,0.232296205,0.254093405,0.293968579,0.356769387,3.333267454,2.05275967,3.022602658,7.686927135
163.36,54.09,331.47,0.245423797,0.251998197,0.308555203,0.365320725,3.017440758,2.073033206,2.976510216,7.744875412
163.87,139.07,350.69,0.255670023,0.265930213,0.287876586,0.334853185,1.936961569,2.997378293,2.97576813,7.726862157
164.66,86.55,369.64,0.242386834,0.250306175,0.301022955,0.359945053,2.572927937,2.505305563,2.652561311,7.73908812
166.08,119.01,358.74,0.23816893,0.250125543,0.295084675,0.348249103,2.039027509,2.744569674,2.855057844,7.78347171
167,66.49,389.81,0.22335754,0.226705557,0.264576732,0.321034092,2.561441117,2.101000212,2.765242487,7.789008835
168.7,98.95,390.72,0.215719858,0.225334693,0.249350969,0.301108751,2.134868018,2.345364231,2.473260269,7.763969015
15.87,306.01,1114.15,2.886996729,2.074805161,7.864424285,2.899881882,0.07832538,0.089739925,0.118228848,0.089995365
16.39,31,841.22,0.114984321,0.134940197,0.17790647,0.135370343,2.816050154,1.914546209,7.631680106,2.739343998
15.61,83.52,807.89,0.127785093,0.140170061,0.225501033,0.168734498,2.551645665,2.411586319,7.786048566,2.497214207
16.89,115.98,715.83,0.152607938,0.186833828,0.251616519,0.177695186,2.090448737,2.972915539,7.79167205,2.78266821
17.37,200.97,1935.38,1.886203438,2.880835949,7.540467351,2.850037215,0.060496687,0.063380983,0.090904686,0.074191316
16.64,253.49,1131.91,2.276736941,2.924240648,7.862571699,2.833523751,0.098795069,0.100925062,0.167540345,0.129498586
17.13,338.47,506.35,2.829530887,2.039844503,7.606696307,2.888804137,1.455623197,0.804653241,0.4446377,0.180188432
18.08,148.44,1037.16,0.113626085,0.11771076,0.20594679,0.141458322,1.881710066,3.050601276,7.619897935,2.804764228
17.85,285.95,1129.81,2.954254233,2.467115648,7.862478655,2.905518783,0.092026262,0.106996318,0.172605468,0.128735287
