Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
|name        |ra        |dec      |trigger_time           |
|GRB080714086|02 47 36.0|+08 30 00|2008-07-14 02:04:12.053|
|GRB080714425|12 30 00.0|-74 00 00|2008-07-14 10:12:01.838|
|GRB080714745|12 32 24.0|-60 12 00|2008-07-14 17:52:54.023|
|GRB080715950|14 18 48.0|+09 54 00|2008-07-15 22:48:40.163|
|GRB080717543|09 49 12.0|-70 00 00|2008-07-17 13:02:35.221|
|GRB080719529|10 12 48.0|-61 18 00|2008-07-19 12:41:40.958|
|GRB080723557|11 47 12.0|-60 12 00|2008-07-23 13:22:21.375|
|GRB080723913|07 33 12.0|-19 42 00|2008-07-23 21:55:23.058|
|GRB080723985|07 01 12.0|+71 06 00|2008-07-23 23:37:42.708|
|GRB080724401|23 53 12.0|+32 54 00|2008-07-24 09:37:40.603|
|GRB080725435|08 06 48.0|-14 00 00|2008-07-25 10:26:09.056|
|GRB080725541|23 39 12.0|+08 54 00|2008-07-25 12:59:23.762|
|GRB080727964|02 10 24.0|+64 06 00|2008-07-27 23:07:46.217|
|GRB080730520|16 21 36.0|+04 36 00|2008-07-30 12:29:15.403|
|GRB080730786|16 26 24.0|+28 42 00|2008-07-30 18:51:38.181|
|GRB080802386|10 17 12.0|+40 42 00|2008-08-02 09:15:10.527|
|GRB080803772|20 00 24.0|+82 48 00|2008-08-03 18:31:22.041|
|GRB080804456|07 10 00.0|+20 18 00|2008-08-04 10:56:07.159|
|GRB080804972|21 54 48.0|-53 12 00|2008-08-04 23:20:14.879|
|GRB080805496|21 30 48.0|+47 54 00|2008-08-05 11:53:50.565|
|GRB080805584|11 38 00.0|-23 06 00|2008-08-05 14:01:06.244|
|GRB080806584|06 18 24.0|+57 48 00|2008-08-06 14:01:11.204|
|GRB080806896|16 07 12.0|+46 42 00|2008-08-06 21:29:40.824|
|GRB080807993|06 46 48.0|-16 00 00|2008-08-07 23:50:32.639|
|GRB080808451|07 09 36.0|-33 48 00|2008-08-08 10:50:03.265|
|GRB080808565|02 14 24.0|+05 24 00|2008-08-08 13:33:48.338|
|GRB080808772|06 26 48.0|-14 24 00|2008-08-08 18:31:39.736|
|GRB080809808|06 06 48.0|+61 24 00|2008-08-09 19:23:33.129|
|GRB080810549|23 47 12.0|+00 19 12|2008-08-10 13:10:12.581|
